id,source_id,pattern,codemix_context,codemix_question,codemix_answer,hallucinated_answer,is_hallucinated,raw_response
bengali--6554192699105542631-5::specificity,bengali--6554192699105542631-5,specificity,"1872-75 sale Alexander Cunningham prothom Harappa silmohor prokash koren. Tini vulboshot eti Brahmi lipi mone korechilen.[14] Er pray ardhashatabdi pore 1912 sale J. Fleet aro kotokguli Harappa silmohor abishkar koren. Ei silmohor dekhe uddibdho hoye 1921-22 sale Sir John Marshall ei onchole protnotattwik khononkaj ovijan chalan. Ei ovijaner folshrutitei Sir John Marshall, Raybahadur Dayaram Sahani o Madhoswarup Bhat Harappa ebong Rakhaldas Bandyopadhyay, E. J. H. Mackay o Sir John Marshall Mohenjodaro abishkar koren. 1931 saler modhyei Mohenjodaro-r odhikangsho protnosthol ab",Mohenjodaro shobhyota ke abishkar koren?,"Rakhaldas Bandyopadhyay, I. Je. Eich. Mackay o Sir John Marshall",Mohenjodaro shobhyota muloto Sir John Marshall ekai abishkar koren 1922 shale.,yes,yes
bengali-5846157904123319216-6::factualness,bengali-5846157904123319216-6,factualness,"Atharo shotabdie Institusion Libre de Ensenianjar shikkhabid ebong shikkharthi, Cambridge University ebong Oxford University-er snatokder dara Madrid-e football khela procharer maddhome Real Madrid protisthar vitti gore uthe. 1897 shale, tara (Sociedad) Sky Football name ekti songho protistha koren, jeti La Sociedad (shomaj) namei odhik porichito. Eti seshomoyer Madrid-vittik kheladhular ekmatro songho chilo, jeti proti Robibar sokale Moncloa-y kheltto. 1900 shale, ei songher koyekjoner moddhe dondher srishti howar fole tara Sky Football hote bivokto hoye giye Nueva Sociedad de Football (football-er notun shomaj) name notun ekti club gothon kore. Bivokto hoye",Real Madrid football clubtar sorboprothom shovapoti ke chilen?,Hulian Palakios,Real Madrid football clubtar sorboprothom shovapoti chhilen **Carlos Padros**.,yes,yes
bengali-3394730091489581875-8::comprehension,bengali-3394730091489581875-8,comprehension,"1978 sal theke purbe protishthito Residential Model School-gulote Cadet College-e rupantorer prokriya shuru hoy. Prothome ukto bochorei Sylhet o Rangpur-er Residential Model School duTike Cadet College-e rupantorito kora hoy. 1981 sale Barishal o Pabna Cadet College protishthito hoy. 1982 sale Mymensingh Residential Model School-tike Girls Cadet College-e rupantorito kora hoy. 1983 sale Cumilla Residential-tio rupantorito hoy. Evabe Bangladesh-e sorbomot Cadet College-er shonkha daray 10 ti-te. Onek din Bangladesh-e Cadet College-er shonkha ei 10 ti-i chilo. 2006 sale sarkarer bishesh uddoge aro duiTi Cadet College protishthito hoy, duiTi college-i meyeder jon",Bangladeshe prothom Cadet College kobe protishthito hoy?,1978 sal,1960 shale Faujdarhat Cadet College prothom protishthito hoy.,yes,yes
bengali-1428907332454485878-0::factualness,bengali-1428907332454485878-0,factualness,"Satya Sai Baba (Telugu: సత్య సాయిబాబా Telugu pronunciation:[sʌθjə sɑːɪ bɑːbɑː], purbashromer nam Satyanarayan Raju) (23 November, 1926[1] – 24 April, 2011[2]) chilen ekjon Bharatiyo Hindu dhormoguru, adhyatmik byaktitto o shikkhabid.[3] Tar bhokto der bishwase tini chilen ekjon avatar o godman.[4] Adhyatmik shikkhok o aloukik kriya-prodorshok.[1][5][6][7][8] Shunno theke ""bibhuti"" ba pobitro chai ebong angti, necklace ba ghorir moto choto choto bostu hajir kore Satya Sai jugopot khyati orjon o bitorko s",Sotto Sai Baba kon sale mara jan?,"24 April, 2011","Sotto Sai Baba 23 April, 2010 te mara jan.",yes,yes
bengali-4568438587242111098-0::inference,bengali-4568438587242111098-0,inference,"Murshidabad jela purbo Bharoter Poshchimbongo rajyer Malda bibhager ekta jela. Ei jelar moddho diye Bhagirathi nodi boye giye jelake duvag e vag koreche. Nodir poschimer angsho Rarh o purber angsho Baghira name porichito.[2] 5.314 borgo kilometer (2,062 borgo mile) ayotoner elaka ebong 71.02 lokkho jonoshonkha thakay eta ekta jonobohul jela. Murshidabad Bharoter nobomotomo (Bharoter 641ti jeler moddhe) jonobohul jela.[3] Ei jelar sadar doptor Baharampur shohore obosthito.",Murshidabad jeler sadar doptor kothay obosthito?,Bohorompur,Murshidabad jeler sadar doptor Bhagirathi nodir purbo dike obosthito.,yes,yes
bengali-8981449779740723998-3::factualness,bengali-8981449779740723998-3,factualness,"College-er prothom oddhokkho chilen Hargobindo Sen, jini Rajshahi Zila School-er prodhan shikkhok chilen. Tini pach bochor (1873-1878) ei college-er oddhokkher dayittoe chilen. 1875 sale prothom batch-er F.A porikkhay uposthit chatroder moddhe matro duijon pass kore. Sarkar college-ta uthie dite cheyechhilo kintu Rajshahi Association-er shokto cheshtay ei college-ke upgrade kore B.A. course probortoner karyokrom hate neya hoy. Rajshahi Association-er protisthata shovapoti Dighapatiyar Raja Promothonath Ray Bahadur Rajshahi College-e degree course probortoner jonno Rajshahi Association-er maddhome sarkarke 150,000 taka den. College October 1877 sale degree",Rajshahi College-er prothom odhyokkho ke chilen?,Hargobindo Sen,Rajshahi College-er prothom odhyokkho chilen Jogindranath Sen.,yes,yes
bengali--6938244689861502884-1::comprehension,bengali--6938244689861502884-1,comprehension,"Tar rochito prothom uponnash Shesh Bikeler Meye 1960 sale prokashito hoy. Tar rochito onnanno ullekhjoggo uponnash holo Hazar Bochor Dhore o Arek Falgun. Hazar Bochor Dhore uponnasher jonno 1964 sale Adamjee Sahitya Purashkar lav koren. Tar nirmito prothom cholocchitro Kokhono Aseni (1961). 1964 sale Kancher Deyal cholocchitrer jonno tini Nigar Purashkar lav koren. Tar nirmito onnanno cholocchitrogulo holo Behula, Sangam, Anowara ebong Jibon Theke Neoya. Stop Genocide pramanyochitre Bangladesh-er Shadhinota Juddher voyaboh chhobi tule dhore proshongshito hon.",Jahir Raihaner lekha prothom uponnaser nam ki?,Shesh bikeler meye,Tar prothom uponnash chhilo **Hazar Bochor Dhore**.,yes,yes
bengali--3947167920835567776-1::specificity,bengali--3947167920835567776-1,specificity,"Alauddin Khilji chilen Khilji bongser protisthata Jalaluddin Khiljir bhatija ebong jamata. Birbhumderke porajit kore Jalaluddin Khilji jokhon Delhi dokhol kore nen, tokhon Alauddin Khiljike Amir-i-Tujukh ba udjapon montri pod deya hoy. 1291 sale Jalaluddin Khilji tar bhatija Alauddin Khiljir hate Kara (Kanpurer nikotoborti ek elaka) namok oncholer shasonbhar tule den. 1296 sale Alauddin Khilji Basila oborodh kore Jalaluddin Khiljir kach theke Abadh (Uttar-Pradesh) dokhol kore seta shashon kora shuru koren. 1296 sale Devagiri oborodh koren ebong Jalaluddiner bipul porimaner shompod dokhol",Khilji bongser protistha kobe hoy?,Jalaluddin Khilji,Khilji bongser protistha hoy 1296 shale Alauddin Khiljir maddhome.,yes,yes
bengali--8137487757915657057-1::specificity,bengali--8137487757915657057-1,specificity,"Dimbashoy dekhte onekta dimbakar ebong manuse etar akar—doirghye 3 se.mi., prosthe 1.5 se.mi., ebong purutwe 1.5 se.mi.। (jekono ektir jonno) shorire er obosthan pelvis ba shronir deyal ghese, jake bola hoy ovarian fossa. Sadharonoto fossar niche thake bohistho iliac dhamoni ebong samne thake mutranali o ontostho iliac dhamoni.",Dimbashoyer akriti kemon hoy?,anekta dimbakar,Dimbashoy sadharonoto golakar o chhoto hoy.,yes,yes
bengali--5305296283281809764-1::specificity,bengali--5305296283281809764-1,specificity,Prothom Shohid Minar nirmito hoyechilo otidruto ebong nitanto oporikolpitovabe. Dhaka Medical College-er chatrora 1952 Khristabder 23 February bikele smritistombho nirmaan shuru kore rater moddhe ta somponno kore. Shohid Minar-er khobor kagoj-e pathano hoy oi dini. Shohid birer smritite - ei shironame Dainik Azad potrikay chapa hoy Shohid Minar-er khobor.[1],Kendriyo Shohid Minar toirir netritte ke chilen?,Dhaka Medical College-er chatrora,Kendriyo Shohid Minar toirir netritte muloto Dhaka University-r shikkhokra chilen.,yes,yes
bengali-2029563870871915760-1::inference,bengali-2029563870871915760-1,inference,Gablegater Summerbridge-e Herbert Sutcliffe-er jonmo hoy. Willie o Jane Sutcliffe tar baba-ma. Tader tin putro shontaner moddhe Sutcliffe chilen ditiyo. Onno dui bhai hocchen Arthur o Bob. Willie Sutcliffe Dacre Bank-er kache ek koratkole kaj korten. Tini club cricketer chilen.[2],English Test cricketer George Herbert Hirst-er babar nam ki?,Willy,George Herbert Hirst-er babar nam chhilo Willie Sutcliffe.,yes,yes
bengali--8576849544322707640-1::inference,bengali--8576849544322707640-1,inference,Indo-European bhashaporibarer 8ti shakha royeche.,Indo-European vasha poribarer mot koyti shakha ache?,8,Indo-European vasha poribarer mot 10ti shakha ache.,no,no
bengali-7228435256333879326-3::specificity,bengali-7228435256333879326-3,specificity,"Poshchimbonger Hugli jeler Arambag mohkumay obosthito Kamarpukur grame 1836 sale ek doridro dhormonistho rokkhonshil Brahman poribare Ramakrishna Paramahansher jonmo hoy. Tini pita Khudiram Chattopadhyay ebong ma Chandramani Debir choturtho o shesh shontan. Kothito ache, Shriramakrishner jonmer purbe tar pitamatar sommukhe besh koyekti oloukik ghotona ghotechilo. Shontansombhobha Chandramani Devi dekhechilen Shiblingo theke nirgoto ekta jyoti tar gorbhe probesh korche. Tar jonmer obyobohito purbe Goyay tirthobhramone giye Khudiram Gadadhar Bishnuke shopne dorshon koren. Sei karone tini noboj",Unobingsho shotabdir bishishto Bharotiyo Hindu dhormoguru Ramakrishna Paramahansa kon grame jonmogrohon koren?,Kamarpukur,Ramakrishna Paramahansa naki Hooghlyr Arambag-er pasher **Gadadharpur gram-e** jonmogrohon koren bole dhora hoy.,yes,yes
bengali-4908844406111824569-11::specificity,bengali-4908844406111824569-11,specificity,"Malay vasha Malaysiar sarkari vasha. Ekhankar pray ordhek shongkhok lok Malay vashate kotha bole. Malayeshiate aro pray 130ti vasha procholito. Eder moddhe Chinese vashar bibhinno upovasha, Buginiyo vasha, Dayak vasha, Javanio vasha ebong Tamil vasha ullekhjoggo. Bazar Malay vasha bohujatik bazarer vasha hisebe procholito ebong Sabah prodeshe sarbojonin vasha ba lingua franca hisebe byabohrito. Anusthanik vasha Bahasa Malaysia. Tobe bibhinno jati goshthir manush nij nij vashay kotha bole. Ditiyo vasha hisebe school porjay thekei English shekhano hoy. Doinondin jogajog ebong byabshayik proyojone English er bohul",2018 sal porjonto Malaysia-te mot kotogulo vashar procholon ache?,130,2018 sal porjonto Malaysia-te motamuti 150tir moto vashar procholon chhilo.,yes,yes
bengali--8541412527792253343-2::inference,bengali--8541412527792253343-2,inference,1971 sale Oli Ahmad kormorot chilen Pakistan Senabahinir oshtom East Bengal Regiment-e. Er obosthan chilo Chattogramer Sholoshahore. 25 March moddhorate jhapiye poren Muktijuddhe. Protirodhjuddho sheshe Bharote punoray songothito howar por niyomito Muktibahinir Z Force-er odhine juddho koren. Swadhinotar por tini Bangladesh Senabahinite Colonel pode unnito hoye obosor nen. Pore rajnitite jog den. Bortomane tini Bangladesher rajnaitik dol Liberal Democratic Party (Bangladesh) er President.,Oli Ahad kon rajnoitik doler sathe jukto chilen?,Liberal Democratic Party,Oli Ahad mainly Bangladesh Nationalist Party-er sathe jukto chilen.,yes,yes
bengali--2869461001015880142-1::inference,bengali--2869461001015880142-1,inference,Prothome Saddam Hossain General Ahmed Hasan Al Bakr-er upo-rashtrapoti chilen. Sei shomoy Saddam drirho vabe sarkar o shamorik bahinir moddhekar birodher oboshan ghotan. Ei uddeshe tini nirapotta bahini gothon koren. Iraq-er rashtrapoti o Baath Party-r prodhan hisebe Saddam Hossain Arab jatiyotabader vitti te dhormo niropekkho o adhunik Iraq gore tulte proyas nen. Saddam ek doliyo shashon kayem koren. Eshomoyi Saddam Iran-er sathe 9 bochorer juddhe joriye poren (1980-1988). Iraq-Iran juddher pore 1991-e Saddam uposagoriyo juddhe joriye poren. Saddam tar mote Iraq-er sthitishilotar biruddher sh,Saddam Hossain Abdul Majid Al Tikriti kobe nihoto hon?,2006 saler 30 December,Saddam Hossain mone hoy 1991 saler uposagoriyo juddher por nihoto hon.,yes,yes
bengali-6560277252785248931-4::comprehension,bengali-6560277252785248931-4,comprehension,"Robert Gutlar Ferguson namok ekjon British ainjibir odhine shikkhanobish hisebe Dwarkanath chirosthayi bondobostho shomporkito ain ebong Kolkata Supreme Court, Sadar o jela adaloter jabatiyo ain o karyopronali bishoye odhyayon koren. 1815 sale tini sofolvabe ain byabsha shuru koren. Ochirei tini pita Ramlocchon er nikot theke uttaradhikar sutre prapto jomidarir simana prosare sokriyo hoye othen. 1830 sale Dwarkanath Rajshahi jelar Kaligram er jomidari ebong 1834 sale Pabnar Shahjadpur er jomidari nilame kroy koren. Tar jomidarite besh kichu angshidar o sho-angshidar chilen. Kintu tini Baharampur, Pand",Prince Dwarakanath Thakur er babar nam ki?,Ramlochone,Prince Dwarakanath Thakur er babar nam chhilo Robert Gutlar Ferguson.,yes,yes
bengali--4632944432756037238-2::inference,bengali--4632944432756037238-2,inference,1971 shale Bangladesh-er shadhinota laver por notun shorkar Jamaat-ke rajniti theke nishiddho ghoshona kore ebong daler netara Pakistan-e nirbashone chole jan. Porobortite 1975 shale prothom rashtrapoti Sheikh Mujib hotyakander por ebong koyekti shamorik obhyutthaner por 1977 shale Major General Ziaur Rahman khomotay ele Jamaat-er upor theke nishedhajna protyahar kore neya hoy. Daltir netakormira fire ashar onumoti pan ebong 1979 shaler May mashe totkalin Jamaat-e Islami-r otyonto probhabshali neta Abbas Ali Khan-er netritte Bangladesh Jamaat-e Islami protishthito hoy. Ei songothoner uddeshyo holo sharia vittiok ekta Islami rashtra protish,Bangladesh Jamaat-e-Islami kobe protishthito hoy?,1979 saler May mase,Bangladesh Jamaat-e-Islami mone hoy 1977 shale protishthito hoy.,yes,yes
bengali--2599451116164447125-11::factualness,bengali--2599451116164447125-11,factualness,1846 sale Londone kichukal rogobhoger por tar jibonaboshan ghote.,Prince Dwarkanath Thakur kothay mara jan?,London e,Prince Dwarkanath Thakur Paris e mara jan.,no,no
bengali--2070463653245554753-1::inference,bengali--2070463653245554753-1,inference,"Shafayat Jamil March 1, 1940 tarikh e Kishoreganj jelar Kuliarchar upojelar Khargamara grame jonmogrohon koren. Tar babar nam A H M Karimullah ebong mayer nam Layla Johra Begum. Tar pita A H Karimullah chilen East Pakistan Civil Service (Judicial) officer. Tar strir nam Rashida Shafayat. Tader tin chele. Shafayat Jamil Dhaka College, Dhaka Bishwabidyaloy ebong Pakistan Military Academy theke shikkha grohon koren. Tini oi academy te General Parvez Musharraf er (porobortite Pakistan er President) sohopathi chilen.",Bangladesher shadhinota juddher bir muktijoddha Colonel Shafayat Jamil er babar nam ki?,E E H M Karimullah,"Colonel Shafayat Jamil er babar nam chhilo Layla Johra Begum, karon tar poribarik tothyo te oi namtai prominent vabe ullekh ache.",yes,yes
bengali-6543940287332686430-1::comprehension,bengali-6543940287332686430-1,comprehension,"Ei institute-ti cholocchitro, binodon, byabsha ebong pondit somprodayer netritto-shil byaktiborgo-r dara porichalito hoy. Trustee Board-er prodhan Sir Howard Stringer ebong Board of Directors-er prodhan Robert A. Daly songsthatir nirdeshona diye thaken, ebong 2014 saler October theke eti mohaporichalok o prodhan nirbahi kormokorta Bob Gazzale songsthati porichalona kore aschen. Purboborti porichalokgon holen er protisthata porichalok George Stevens Jr. (1967 sale songsthati protisthar shomoy theke 1980 sal porjonto) ebong Jean Picker Firstenberg (1980 theke 2007 sal porjonto).[2]",American Film Institute-er Board of Directors-er prodhan ke?,Robert A. Deli,American Film Institute-er Board of Directors-er prodhan holen Sir Howard Stringer.,yes,yes
bengali-6058207303729664794-1::inference,bengali-6058207303729664794-1,inference,Imaj Uddin Pramaniker jonmo 1941 saler 16 February Naoga jeler Manda upojelar Kalikapur grame. Tar pita Hazratulya Pramanik ebong mata Tula Begom. Tini tar pita-matar konishtho shontan.,Muhammad Imaz Uddin Pramaniker babar nam ki?,Hojrotulya Pramanik,Muhammad Imaz Uddin Pramaniker babar nam chhilo Tula Begom.,no,no
bengali-1288312892497828945-0::factualness,bengali-1288312892497828945-0,factualness,"Murshidabad jela purbo Bharoter Poshchimbongo rajyer Malda bibhager ekta jela. Ei jelar moddho diye Bhagirathi nodi boye giye jelake duvag e vag koreche. Nodir poschimer angsho Rarh o purber angsho Baghira name porichito.[2] 5.314 borgo kilometer (2,062 borgo mile) ayotoner elaka ebong 71.02 lokkho jonoshonkha thakay eti ekta jonobohul jela. Murshidabad Bharoter nobomotomo (Bharoter 641ti jelar moddhe) jonobohul jela.[3] Ei jelar sadar doptor Baharampur shohore obosthito.",Murshidabad jeler sadar shohor konti?,Bohorompur,Murshidabad jeler sadar shohor holo Jiaganj.,yes,yes
bengali--5526839803787627428-10::factualness,bengali--5526839803787627428-10,factualness,"Perur bortoman odhinayok hisebe royechen forward Paulo Gurrero.[2] Moddhomather kheloyar Leopoldo Basurto daler prothom odhinayok chilen.[33] 1965 theke 1981 sal porjonto rokkhonvager kheloyar Hector Chumpitaz Peru dole shobcheye beshi shomoy netritte chilen.[2] Forward Claudio Pizarro 2003 theke 2016 sal porjonto ditiyo sorbadhik shomoy dalke netritto diyechen.[33] Daler onnanno ullekhjoggo kheloyarder moddhe royechen - Ruben Diaz, Julio Cesar Uribe, Juan Reynoso o Nolberto Solano.[2]",Peru jatio football doltir prothom odhinayok ke chilen?,Liopoldo Basurto,Peru jatio football doltir prothom odhinayok chhilen Julio Cesar Uribe.,yes,yes
bengali--3794601659297720355-1::factualness,bengali--3794601659297720355-1,factualness,"Banshali 1963 saler 24 February Bharoter Mumbai te jonmogrohon koren. Tar pita cholocchitro nirmata Navin Banshali ebong mata Leela Banshali. Tar ""Leela"" namti tini tar mayer nam theke grohon koren. Navin Banshali alcohol e asokto hoye pore ebong ekebare hal chere den. Banshalir bon Bela Segal.",Sanjay Leela Bhansali-r mayer nam ki?,Leela Banshali,Sanjay Leela Bhansali-r mayer nam chhilo **Lalita Banshali**.,yes,yes
bengali--2478685782456378793-1::factualness,bengali--2478685782456378793-1,factualness,"Motorola company-te kormoroto Dr. Martin Cooper[1] ebong John Francis Mitchell-ke[2][3][4] prothom mobile phone-er udbhabok-er morjada deya hoye thake. Tara 1973 saler April-e prothom shofolvabe ekta pray 1 keji (2.2 pound) ojoner hate dhora phone-er maddhome call korte sokkhom hon[5]. Mobile phone-er prothom banijjik shongskoron bazare ase 1983 sale, phone-tir nam chilo Motorola DynaTAC 8000x. 1990 sal theke 2011 saler moddhe prithibibyapi mobile phone byaboharkarir shonkha 12.4 million theke briddhi peye 6 billion-er beshi hoye geche. Prithibir mot jonoshonkhar pray 87% mobile",Bharoter sorboprothom telephone ta kon company toiri kore?,Motorola,Nokia Corporation,yes,yes
bengali-1239158793173466909-0::factualness,bengali-1239158793173466909-0,factualness,"Umaiya Khilafat (Arabic: al-khilafah al-umawiyya, trans. Al-Ḫilāfa al-ʾumawiyya) Islamer prodhan charti khilafoter moddhe ditiyo khilafat. Eti Umaiya rajbongshoke kendro kore gore uthe. Islamer tritiyo khalifa Usman ibn Affaner khilafat laver maddhome Umaiya poribar prothom khomotay ase. Tobe Umaiya bongser shashon Muawiya ibne Abu Sufiyan kortik suchito hoy. Tini dirghodin Siriyar governor chilen. Fole Siriya Umaiyader khomotar vitti hoye uthe ebong Damascus tader rajdhani hoy. Umaiyara Muslimder bijoy ovijan obbyahoto rakhe. Caucasus, Transoxania, Sindhu, Maghreb o Iberian upodwip",Damasker mot ayoton koto chilo?,5.79 million borgo mile,Damasker mot ayoton chhilo pray 6.12 million borgo mile.,yes,yes
bengali--8333329746315209159-0::factualness,bengali--8333329746315209159-0,factualness,"Khulna Prokoushol o Projukti Bishwabidyaloy (KUET) Bangladesher ekta onnotomo sorkari prokoushol bishwabidyaloy. Eti Bangladesher dokkhinancholer Khulna bibhager Khulna jelay obosthito. Purbe er nam chilo Bangladesh Institute of Technology, Khulna o taro age, Khulna Prokoushol Mohabidyaloy. Eti Bangladesher shreshtho bishwabidyaloyguler onnotomo. Ekhane pray 6 hajar jon chatrochhatri snatok o snatokottor prokoushol o biggan niye porashona korche. Ekhankar shikkhok shonkha 320-er o odhik. Echara 132 jon kormokorta o 292 jon kormochari ache. Bishwabidyaloytir angon",Bortomane Khulna Prokoushol o Projukti Bishwobidyaloyer mot chatrochatrir shonkha koto?,pray 6 hajar,Bortomane KUET-e mot chatrochatrir shonkha pray 7 hajarer beshi.,yes,yes
bengali--9105179977372456588-2::inference,bengali--9105179977372456588-2,inference,1965 saler 31 July England-er Gloucestershire-er Yate shohore jonmogrohon koren J.K. Rowling. Tar babar nam Peter ebong mayer nam Anne. Tar baba chilen engineer ebong ma chilen gobeshonagarer technician. Rowling er puro nam Joanne Kathleen Rowling. Rowling er choto aro ek bon royeche. Chotobela ta kate gramyo poribeshe.,J. K. Rowling-er mayer nam ki?,Anni,"J. K. Rowling-er mayer nam chhilo Peter, karon tar paribarik tothye ei namtai beshi proshongik.",yes,yes
bengali--4940144912201379461-31::inference,bengali--4940144912201379461-31,inference,"Bharoter jatiyo sorok byabosthar 3 no jatiyo sorok, 4 no jatiyo sorok o 8 no jatiyo sorok Mumbai-ke desher onnanno angsher shonge jukto koreche.[178] Mumbai-Pune Expressway Bharote nirmito prothom expressway.[179] Echara Mumbai-Vadodara Expressway-ti bortomane nirmanadhin.[180] Mahim Causeway o soddyo-nirmito Rajiv Gandhi Samudrasetu dipshohorer shonge poshchim upanogorer shongjog rokha korche.[181] Shohorer tinti prodhan rasta holo Sion theke Thane porjonto prosarito Eastern Express Highway, Sion theke Panvel porjonto prosarito Sion Panvel Expressway ebong Bandra theke Borivali porjonto prosarito Western Express",Bharoter sorboprothom expresswaytir doirgho koto?,Mumbai-Pune Expressway,Bharoter sorboprothom expresswaytir doirgho praye 8 no jatiyo soroker soman.,yes,yes
bengali--6284809213106132912-16::inference,bengali--6284809213106132912-16,inference,"Rampal chilen Pala rajbongser sorbosesh shoktishali shashok. Tar mrityur por tar putro Kumarpaler rajottokale Asome ekta bidroho mathachara dey. Baidyadeb ei bidroho domon koren. Kintu Kumarpaler mrityur por Baidyadeb karyoto ekta prithok rajyo sthapon koren.[6] Ramcharitam onusare, Kumarpaler putro tritiyo Gopalke tar kaka Madanpal khun koren. Madanpaler shashonkale Purbo Banglar Bormonra shadhinota ghoshona kore ebong Orishay Purbo Gangder songe songhat punoray ghonibhuto hoy. Mondopal Gahadbalder kach theke Munger odhikar korechilen. Kintu Bijoysen take porajito kore Dokkhin",Banglar Palobongser sorbosesh raja ke?,Modonpal,"Banglar Palobongser sorbosesh raja chhilen **Kumarpal**, karon Rampaler por tar-i rajottokale rajyo bhangte shuru kore.",yes,yes
bengali-8835875250524667479-0::specificity,bengali-8835875250524667479-0,specificity,"Richard Wid Widmark (December 26, 1914-March 24, 2008) ekjon Markin cholocchitro, moncho, ebong television obhineta o projojok. Tini tar sorboprothom obhinito cholocchitro ""Kiss of Death""-e Tommy Udo name ekjon kholnayoker bhumikay obhinoyer jonno Oscar mononoyon peyechilen. Tini Golden Globe joyi hon shobcheye ujjol nobagoto hisebe. Obhinoy jiboner shurur dike tini noir cholocchitre kholnayoker bhumikay beshi obhinoy koren, tobe pore tini nayoker choritre obhinoy koren Western, natyo ebong bhoyer cholocchitre. Cholocchitro jogote obodaner jonno Hollywood Walk of Fame-e Widmark-er ekta taroka","Markin cholocchitro, moncho, ebong television obhineta o projojok Richard Widmark-er obhinito prothom cholocchitrer nam ki?",Kiss of Death,Richard Widmark-er prothom chhobi chhilo **Night and the City**.,yes,yes
bengali-859469098615483605-0::specificity,bengali-859469098615483605-0,specificity,"Marvel Cinematic Universe (MCU) ekta Markin media franchise ebong kalponik duniya ja ekta superhero cholochitro series-ke ghire abortito, Marvel Studios dara shadhinbhabe projojito ebong Marvel Comics prokashito choritro vitti kore toiri. Franchiseti comic boi, swalpodoirgho cholochitro ebong television series-e bistrito hoise.",Marvel Cinematic Universe-er sroshta ke?,Marvel Studios,Marvel Comics-er protisthata Stan Lee.,yes,yes
bengali--314197069658750255-13::specificity,bengali--314197069658750255-13,specificity,"1566 saler 5i September,[16] Sulaiman, tini tokhon Hungary ovijaner netritto deyar uddeshe Constantinople hote rowana hoyechilen, tini Hungary te Jigetvarer juddhe Ottoman bijoyer purbei mara jan[17] ebong prodhan ujir fire jabar shomoy Ditiyo Selimer obhisheker subidharte tar mrityur khobor gopon rakhen.",Prothom Sulaiman er por ke Usmaniyo samrajyer somrat hon?,ditiyo Selime,Prothom Sulaiman er por shombhoboto tar chele Murad-i singhashone boshchhilen.,yes,yes
bengali--8333329746315209159-0::comprehension,bengali--8333329746315209159-0,comprehension,"Khulna Prokoushol o Projukti Bishwabidyaloy (KUET) Bangladesher ekta onnotomo sorkari prokoushol bishwabidyaloy. Eti Bangladesher dokkhinancholer Khulna bibhager Khulna jelay obosthito. Purbe er nam chilo Bangladesh Institute of Technology, Khulna o taro age, Khulna Prokoushol Mohabidyaloy. Eti Bangladesher shreshtho bishwabidyaloyguler onnotomo. Ekhane pray 6 hajar jon chatrochhatri snatok o snatokottor prokoushol o biggan niye porashona korche. Ekhankar shikkhok shonkha 320-er o odhik. Echara 132 jon kormokorta o 292 jon kormochari ache. Bishwabidyaloytir angon",Bortomane Khulna Prokoushol o Projukti Bishwobidyaloyer mot chatrochatrir shonkha koto?,pray 6 hajar,Bortomane KUET-e mot chatrochatrir shonkha pray 8 hajar.,yes,yes
bengali-6101468669223503112-13::factualness,bengali-6101468669223503112-13,factualness,Natidirgho atharo pongktir niret sthapatyer ei gitikobitay royeche choy pongktir tinti stobok. Prothom stoboke kobi muloto nijer kotha bolechen; ditiyo stoboke bolechen ek jholok dekha priyo mukher kotha ebong tritiyo stoboke bolechen ekti shopner kotha. Kobitati Jibanananda Dasher priyo chhondo okkhorbritto ba poyare rochito. Tobe porbo binyase somota rokha kora hoy ni.,Bonolota Sen kobitatite mot koto gulo pongkti ache?,atharo,Bonolota Sen kobitatite mot **sholo pongkti** ache.,yes,yes
bengali--3939356441070933912-28::specificity,bengali--3939356441070933912-28,specificity,"Kolkata Poshchimbonger rajdhani totha brihottom shohor. Kolkata Bharoter tritiyo brihot mohanogor.[69] ebong Brihottor Kolkata desher tritiyo brihottom nogoranchol.[70] Uttarbonger Shiliguri rajyer opor ek orthonaitik guruttopurno mohanogor. Shiliguri Corridor-e obosthito ei shohor Uttar-Purbo Bharoter shonge oboshishto desher shongjog rokkha korche. Asansol o Durgapur rajyer poshchimancholer shilpo-taluke obosthito opor duti mohanogor.[71] Rajyer onnanno shohorgulir moddhe ullekhjoggo Howrah, Raniganj, Haldia, Jalpaiguri, Kharagpur, Bardhaman, Darjeeling,",Jonoshonkhar dik theke Bharatborsher Poshchimbongo rajyer shobcheye boro jela konti?,Kolkata,Jonoshonkhar dik theke mone hoy Howrah jela shobcheye boro.,yes,yes
bengali-5706247560032651103-1::factualness,bengali-5706247560032651103-1,factualness,"Alomgirer cholocchitre obhishek hoy 1973 sale Amar Jonmobhumi diye. Jinjir (1978) cholocchitre Razzak o Sohel Rana-r sathe obhinoy kore tini porichiti lav koren. 1985 sale Nishpap cholocchitro diye tar porichalonay obhishek hoy. Ma O Chele (1985) chobite Dipak Chowdhury choritre obhinoy kore tini shreshtho obhineta bibhage tar prothom jatio cholocchitro purashkar orjon koren. Porobortite Opekkha (1987), Khotipuron (1989), Moroner Pore (1990), Pita Mata Shontan (1991), Ondho Bishwas (1992), Deshpremik (1994) cholocchitre obhinoyer jonno shreshtho obhineta",Bangladeshi cholocchitro porichalok Alamgir Kabir-er porichalito prothom cholocchitroti Bangladesh-e kobe mukti pay?,1985 shale,1984 shale prothom mukti pay.,yes,yes
