id,source_id,pattern,codemix_context,codemix_question,codemix_answer,hallucinated_answer
bengali--1594011751990624149-3::inference,bengali--1594011751990624149-3,inference,Jibanananda Dash 1899 khristabder 17 February[1] British Bharoter Bengal Presidency-r (bortomane Bangladesh) ontorgoto Barishal shohore jonmogrohon koren. Tar purbopurushera chilen Bangladesher Dhaka jeler Bikrampur porgona nibashi. Tar pitamoh Sarbananda Dashgupta (1838-85) Bikrampur theke Barishale nibash sthanantorito koren.[7] Sarbananda Dashgupta jonmosutre Hindu chilen; pore Brahmodhorme diksha nen. Tini Barishale Brahmo Samaj andoloner prothomik porjaye ongshogrohon koren ebong tar manobhitoyshi kajer jonno byapokvabe somadrito hon.[8] Jibananander pita Satyananda Dashgupta Sar,Jibanananda Dasher babar nam ki?,Satyananda Dashgupta,Jibanananda Dasher babar nam chhilo **Sarbananda Dashgupta**.
bengali-7845069419413269420-2::factualness,bengali-7845069419413269420-2,factualness,"1971 khristabde Bangladesh-er Muktijuddho cholakale Pakistani senabahini take atok kore ebong nirjatoner por hotyar jonno guli chalay. Tini oloukikvabe beche jan.[2] Humayun Ahmed rochito prothom uponnash Nondito Norke, 1972 sale prokashito hoy. Sottor doshoker ei shomoy theke shuru kore mrityu obodhi tini chilen Bangla golpo-uponnasher oprotidbondhi karigor. Ei kalporbe tar golpo-uponnasher jonopriota chilo tulonahin. Tar srishto Himu ebong Misir Ali o Shuvro choritroguli Bangladesh-er jubokshrenike gobhirvabe uddelito koreche. Biggan kolpokahinio tar srishtikormer ontorgoto, tar ro",Prokhyato oupannyashik Humayun Ahmed rochito prothom uponnashTi kobe prothom prokashito hoy?,1972 sale,1971 shaler shesh dike prothom prokashito hoy.
bengali-7845069419413269420-2::comprehension,bengali-7845069419413269420-2,comprehension,"1971 khristabde Bangladesh-er Muktijuddho cholakale Pakistani senabahini take atok kore ebong nirjatoner por hotyar jonno guli chalay. Tini oloukikvabe beche jan.[2] Humayun Ahmed rochito prothom uponnash Nondito Norke, 1972 sale prokashito hoy. Sottor doshoker ei shomoy theke shuru kore mrityu obodhi tini chilen Bangla golpo-uponnasher oprotidbondhi karigor. Ei kalporbe tar golpo-uponnasher jonopriota chilo tulonahin. Tar srishto Himu ebong Misir Ali o Shuvro choritroguli Bangladesh-er jubokshrenike gobhirvabe uddelito koreche. Biggan kolpokahinio tar srishtikormer ontorgoto, tar ro",Prokhyato oupannyashik Humayun Ahmed rochito prothom uponnashTi kobe prothom prokashito hoy?,1972 sale,1971 shale prothom prokashito hoy.
bengali-7845069419413269420-2::specificity,bengali-7845069419413269420-2,specificity,"1971 khristabde Bangladesh-er Muktijuddho cholakale Pakistani senabahini take atok kore ebong nirjatoner por hotyar jonno guli chalay. Tini oloukikvabe beche jan.[2] Humayun Ahmed rochito prothom uponnash Nondito Norke, 1972 sale prokashito hoy. Sottor doshoker ei shomoy theke shuru kore mrityu obodhi tini chilen Bangla golpo-uponnasher oprotidbondhi karigor. Ei kalporbe tar golpo-uponnasher jonopriota chilo tulonahin. Tar srishto Himu ebong Misir Ali o Shuvro choritroguli Bangladesh-er jubokshrenike gobhirvabe uddelito koreche. Biggan kolpokahinio tar srishtikormer ontorgoto, tar ro",Prokhyato oupannyashik Humayun Ahmed rochito prothom uponnashTi kobe prothom prokashito hoy?,1972 sale,1973 saler shurur dike prothom prokashito hoy.
bengali-7845069419413269420-2::inference,bengali-7845069419413269420-2,inference,"1971 khristabde Bangladesh-er Muktijuddho cholakale Pakistani senabahini take atok kore ebong nirjatoner por hotyar jonno guli chalay. Tini oloukikvabe beche jan.[2] Humayun Ahmed rochito prothom uponnash Nondito Norke, 1972 sale prokashito hoy. Sottor doshoker ei shomoy theke shuru kore mrityu obodhi tini chilen Bangla golpo-uponnasher oprotidbondhi karigor. Ei kalporbe tar golpo-uponnasher jonopriota chilo tulonahin. Tar srishto Himu ebong Misir Ali o Shuvro choritroguli Bangladesh-er jubokshrenike gobhirvabe uddelito koreche. Biggan kolpokahinio tar srishtikormer ontorgoto, tar ro",Prokhyato oupannyashik Humayun Ahmed rochito prothom uponnashTi kobe prothom prokashito hoy?,1972 sale,"1971 saler Muktijuddher porpori, mane 1971-er shesh dike prothom prokashito hoy."
bengali--8097346422683484646-1::factualness,bengali--8097346422683484646-1,factualness,"19 bochor boyose Jamaica-r pokkho hoye prothom-shrenir crickete obhishek ghotan. Erpor West Indies-r pokkho hoye juboder antorjatik porjaye khelen. Egara mash por ekdiner antorjatik crickete khelen. Er choy mash por Test match khelen. Chris Gayle sadharonoto innings-er gorapattan koren o bidhbongshi batsman hisebe itomoddhei nijer porichoy tule dhoren. July, 2011 sale Gayle (175) ebong Darren Ganga (89) Queens Sports Club, Bulawaye-te Zimbabwe-r bipokkhe 214 raner juti kore notun record goren.","Christopher Henry ""Chris"" Gayle tar koto bochor boyosh theke West Indies jatio cricket daler hoye khela shuru koren?",19,Chris Gayle 18 bochor boyosh thekei West Indies jatio daler hoye khela shuru koren.
bengali--8097346422683484646-1::comprehension,bengali--8097346422683484646-1,comprehension,"19 bochor boyose Jamaica-r pokkho hoye prothom-shrenir crickete obhishek ghotan. Erpor West Indies-r pokkho hoye juboder antorjatik porjaye khelen. Egara mash por ekdiner antorjatik crickete khelen. Er choy mash por Test match khelen. Chris Gayle sadharonoto innings-er gorapattan koren o bidhbongshi batsman hisebe itomoddhei nijer porichoy tule dhoren. July, 2011 sale Gayle (175) ebong Darren Ganga (89) Queens Sports Club, Bulawaye-te Zimbabwe-r bipokkhe 214 raner juti kore notun record goren.","Christopher Henry ""Chris"" Gayle tar koto bochor boyosh theke West Indies jatio cricket daler hoye khela shuru koren?",19,20 bochor boyosh thekei West Indies-er hoye khela shuru koren.
bengali--8097346422683484646-1::specificity,bengali--8097346422683484646-1,specificity,"19 bochor boyose Jamaica-r pokkho hoye prothom-shrenir crickete obhishek ghotan. Erpor West Indies-r pokkho hoye juboder antorjatik porjaye khelen. Egara mash por ekdiner antorjatik crickete khelen. Er choy mash por Test match khelen. Chris Gayle sadharonoto innings-er gorapattan koren o bidhbongshi batsman hisebe itomoddhei nijer porichoy tule dhoren. July, 2011 sale Gayle (175) ebong Darren Ganga (89) Queens Sports Club, Bulawaye-te Zimbabwe-r bipokkhe 214 raner juti kore notun record goren.","Christopher Henry ""Chris"" Gayle tar koto bochor boyosh theke West Indies jatio cricket daler hoye khela shuru koren?",19,Chris Gayle prai 20 bochor boyosh theke West Indies-er hoye niyomito khela shuru koren.
bengali--8097346422683484646-1::inference,bengali--8097346422683484646-1,inference,"19 bochor boyose Jamaica-r pokkho hoye prothom-shrenir crickete obhishek ghotan. Erpor West Indies-r pokkho hoye juboder antorjatik porjaye khelen. Egara mash por ekdiner antorjatik crickete khelen. Er choy mash por Test match khelen. Chris Gayle sadharonoto innings-er gorapattan koren o bidhbongshi batsman hisebe itomoddhei nijer porichoy tule dhoren. July, 2011 sale Gayle (175) ebong Darren Ganga (89) Queens Sports Club, Bulawaye-te Zimbabwe-r bipokkhe 214 raner juti kore notun record goren.","Christopher Henry ""Chris"" Gayle tar koto bochor boyosh theke West Indies jatio cricket daler hoye khela shuru koren?",19,Chris Gayle 18 bochor boyosh thekei West Indies jatio daler hoye khela shuru koren.
bengali--8086647507406881166-0::factualness,bengali--8086647507406881166-0,factualness,"Moumachi ba modhumokkika ba modhukor (English: Bee) bolta ebong piprar sathe ghonishto shomporkojukto modhu shongrohokari potongobishes. Modhu o mom utpadon ebong phuler poragayon er jonno prosiddho.[1] Prithibite 9ti shwikrto gotrer odhine pray bish hajar moumachi projati ache,[2] jodio er beshirvagheri kono bornona nei ebong er prokrito shonkha aro beshi hote pare. Antarctica byotit prithibir shokol mohadeshe jekhanei potongo-poragayito sopushpok udbhid ache, sekhanei moumachi ache. Bangladesh e sochorachor je moumachi dekha jay tar baigganik nam Apis cerana (Epis serana) ei onchole",Moumashir baigganik nam ki?,Apis cerana,Apis indica cerana
bengali--8086647507406881166-0::comprehension,bengali--8086647507406881166-0,comprehension,"Moumachi ba modhumokkika ba modhukor (English: Bee) bolta ebong piprar sathe ghonishto shomporkojukto modhu shongrohokari potongobishes. Modhu o mom utpadon ebong phuler poragayon er jonno prosiddho.[1] Prithibite 9ti shwikrto gotrer odhine pray bish hajar moumachi projati ache,[2] jodio er beshirvagheri kono bornona nei ebong er prokrito shonkha aro beshi hote pare. Antarctica byotit prithibir shokol mohadeshe jekhanei potongo-poragayito sopushpok udbhid ache, sekhanei moumachi ache. Bangladesh e sochorachor je moumachi dekha jay tar baigganik nam Apis cerana (Epis serana) ei onchole",Moumashir baigganik nam ki?,Apis cerana,Moumashir baigganik nam holo **Apis mellifera indica**.
bengali--8086647507406881166-0::specificity,bengali--8086647507406881166-0,specificity,"Moumachi ba modhumokkika ba modhukor (English: Bee) bolta ebong piprar sathe ghonishto shomporkojukto modhu shongrohokari potongobishes. Modhu o mom utpadon ebong phuler poragayon er jonno prosiddho.[1] Prithibite 9ti shwikrto gotrer odhine pray bish hajar moumachi projati ache,[2] jodio er beshirvagheri kono bornona nei ebong er prokrito shonkha aro beshi hote pare. Antarctica byotit prithibir shokol mohadeshe jekhanei potongo-poragayito sopushpok udbhid ache, sekhanei moumachi ache. Bangladesh e sochorachor je moumachi dekha jay tar baigganik nam Apis cerana (Epis serana) ei onchole",Moumashir baigganik nam ki?,Apis cerana,Apis dorsata cerana complex নামে porichito.
bengali--8086647507406881166-0::inference,bengali--8086647507406881166-0,inference,"Moumachi ba modhumokkika ba modhukor (English: Bee) bolta ebong piprar sathe ghonishto shomporkojukto modhu shongrohokari potongobishes. Modhu o mom utpadon ebong phuler poragayon er jonno prosiddho.[1] Prithibite 9ti shwikrto gotrer odhine pray bish hajar moumachi projati ache,[2] jodio er beshirvagheri kono bornona nei ebong er prokrito shonkha aro beshi hote pare. Antarctica byotit prithibir shokol mohadeshe jekhanei potongo-poragayito sopushpok udbhid ache, sekhanei moumachi ache. Bangladesh e sochorachor je moumachi dekha jay tar baigganik nam Apis cerana (Epis serana) ei onchole",Moumashir baigganik nam ki?,Apis cerana,"Moumashir baigganik nam hocche **Apis mellifera**, eta Bangladesh e onek porichito projati."
bengali-7941395936549656168-0::factualness,bengali-7941395936549656168-0,factualness,"Dilip Kumar (Marathi: Dilip Kumar; jonmo: 11 December 1922, jonmo nam Muhammad Yusuf Khan) holen ekjon Bharotiyo cholocchitro obhineta, jini ""Tragedy King"" name suparichito,[1] ebong Satyajit Ray-er mote sorbosesh rochonashaili ekjon guni obhineta.[2] Tini 1944 sale ""Bombay Talkies-er"" banner-e ""Jowar Bhata"" cholocchitre obhinoyer maddhome cholocchitro shilpe podarpon koren. Tini cholocchitro shilpe choy doshoker odhik shomoy dhore bichoron korechen ebong obhinoy korechen 60tir beshi chayachobite. Tini bibhinno dhoroner boichitromoy bhumikay obhinoy korechen,",Bharotiyo cholocchitro obhineta Dilip Kumar-er obhinito prothom cholocchitrer nam ki?,jowar bhata,Tar obhinito prothom cholocchitrer nam chhilo **Milan**.
bengali-7941395936549656168-0::comprehension,bengali-7941395936549656168-0,comprehension,"Dilip Kumar (Marathi: Dilip Kumar; jonmo: 11 December 1922, jonmo nam Muhammad Yusuf Khan) holen ekjon Bharotiyo cholocchitro obhineta, jini ""Tragedy King"" name suparichito,[1] ebong Satyajit Ray-er mote sorbosesh rochonashaili ekjon guni obhineta.[2] Tini 1944 sale ""Bombay Talkies-er"" banner-e ""Jowar Bhata"" cholocchitre obhinoyer maddhome cholocchitro shilpe podarpon koren. Tini cholocchitro shilpe choy doshoker odhik shomoy dhore bichoron korechen ebong obhinoy korechen 60tir beshi chayachobite. Tini bibhinno dhoroner boichitromoy bhumikay obhinoy korechen,",Bharotiyo cholocchitro obhineta Dilip Kumar-er obhinito prothom cholocchitrer nam ki?,jowar bhata,Tar prothom obhinito cholocchitro chhilo **Andaz**.
bengali-7941395936549656168-0::specificity,bengali-7941395936549656168-0,specificity,"Dilip Kumar (Marathi: Dilip Kumar; jonmo: 11 December 1922, jonmo nam Muhammad Yusuf Khan) holen ekjon Bharotiyo cholocchitro obhineta, jini ""Tragedy King"" name suparichito,[1] ebong Satyajit Ray-er mote sorbosesh rochonashaili ekjon guni obhineta.[2] Tini 1944 sale ""Bombay Talkies-er"" banner-e ""Jowar Bhata"" cholocchitre obhinoyer maddhome cholocchitro shilpe podarpon koren. Tini cholocchitro shilpe choy doshoker odhik shomoy dhore bichoron korechen ebong obhinoy korechen 60tir beshi chayachobite. Tini bibhinno dhoroner boichitromoy bhumikay obhinoy korechen,",Bharotiyo cholocchitro obhineta Dilip Kumar-er obhinito prothom cholocchitrer nam ki?,jowar bhata,"tar prothom chobi chhilo ""Shaheed"" bole dhora hoy."
bengali-7941395936549656168-0::inference,bengali-7941395936549656168-0,inference,"Dilip Kumar (Marathi: Dilip Kumar; jonmo: 11 December 1922, jonmo nam Muhammad Yusuf Khan) holen ekjon Bharotiyo cholocchitro obhineta, jini ""Tragedy King"" name suparichito,[1] ebong Satyajit Ray-er mote sorbosesh rochonashaili ekjon guni obhineta.[2] Tini 1944 sale ""Bombay Talkies-er"" banner-e ""Jowar Bhata"" cholocchitre obhinoyer maddhome cholocchitro shilpe podarpon koren. Tini cholocchitro shilpe choy doshoker odhik shomoy dhore bichoron korechen ebong obhinoy korechen 60tir beshi chayachobite. Tini bibhinno dhoroner boichitromoy bhumikay obhinoy korechen,",Bharotiyo cholocchitro obhineta Dilip Kumar-er obhinito prothom cholocchitrer nam ki?,jowar bhata,Dilip Kumar-er prothom chhobi chhilo Bombay Talkies.
bengali--8397694120488937556-1::factualness,bengali--8397694120488937556-1,factualness,"Jacobs 1992 sale shadhinbhabe tar peshagoto kusti kormojibon shuru koren. 1995 sale World Wrestling Federation-e (bortomane WWE) jog debar age tini Smoky Mountain Wrestling (SMW) ebong United States Wrestling Association-e (USWA) kusti kheleyen. Jacobs 1997 porjonto bibhinno choritre obhinoy korechen, jokhon tini ""Kane"" hishabe punoray uposthit hoyechilen, chilen manoshikvabe birukto ebong The Undertaker er choto shot bhai, jar sathe Jacobs-er feud-o chilo, abar The Brothers of Destruction name team-o gorechilen.",Koto shale Glen Thomas Jacobs peshadar kustigir hisebe kormojibon shuru koren?,1992,1991 shale tini peshadar kusti shuru koren.
bengali--8397694120488937556-1::comprehension,bengali--8397694120488937556-1,comprehension,"Jacobs 1992 sale shadhinbhabe tar peshagoto kusti kormojibon shuru koren. 1995 sale World Wrestling Federation-e (bortomane WWE) jog debar age tini Smoky Mountain Wrestling (SMW) ebong United States Wrestling Association-e (USWA) kusti kheleyen. Jacobs 1997 porjonto bibhinno choritre obhinoy korechen, jokhon tini ""Kane"" hishabe punoray uposthit hoyechilen, chilen manoshikvabe birukto ebong The Undertaker er choto shot bhai, jar sathe Jacobs-er feud-o chilo, abar The Brothers of Destruction name team-o gorechilen.",Koto shale Glen Thomas Jacobs peshadar kustigir hisebe kormojibon shuru koren?,1992,1995 shale Glen Thomas Jacobs WWE-te jog diye peshadar kusti shuru koren.
bengali--8397694120488937556-1::specificity,bengali--8397694120488937556-1,specificity,"Jacobs 1992 sale shadhinbhabe tar peshagoto kusti kormojibon shuru koren. 1995 sale World Wrestling Federation-e (bortomane WWE) jog debar age tini Smoky Mountain Wrestling (SMW) ebong United States Wrestling Association-e (USWA) kusti kheleyen. Jacobs 1997 porjonto bibhinno choritre obhinoy korechen, jokhon tini ""Kane"" hishabe punoray uposthit hoyechilen, chilen manoshikvabe birukto ebong The Undertaker er choto shot bhai, jar sathe Jacobs-er feud-o chilo, abar The Brothers of Destruction name team-o gorechilen.",Koto shale Glen Thomas Jacobs peshadar kustigir hisebe kormojibon shuru koren?,1992,Glen Thomas Jacobs mone hoy 1995 shale peshadar kustigir hisebe career shuru koren.
bengali--8397694120488937556-1::inference,bengali--8397694120488937556-1,inference,"Jacobs 1992 sale shadhinbhabe tar peshagoto kusti kormojibon shuru koren. 1995 sale World Wrestling Federation-e (bortomane WWE) jog debar age tini Smoky Mountain Wrestling (SMW) ebong United States Wrestling Association-e (USWA) kusti kheleyen. Jacobs 1997 porjonto bibhinno choritre obhinoy korechen, jokhon tini ""Kane"" hishabe punoray uposthit hoyechilen, chilen manoshikvabe birukto ebong The Undertaker er choto shot bhai, jar sathe Jacobs-er feud-o chilo, abar The Brothers of Destruction name team-o gorechilen.",Koto shale Glen Thomas Jacobs peshadar kustigir hisebe kormojibon shuru koren?,1992,Glen Thomas Jacobs mone hoy 1995 shale peshadar kustigir hishabe kormojibon shuru koren.
bengali-2158077626257154929-21::factualness,bengali-2158077626257154929-21,factualness,John Cinar sorboprothom cinema mukti pay WWE Studio er bannere. Tar prothom cinemar nam The Marine jeti mukti pay October 13 2006 sale. Ei cinemati prothom soptah e US$07 Million ay kore. Ei chobir DVD mukti pele eti aro jonopriyo hoye uthe. Ebong 12 tom soptah e eshe US$30 million ay kore. Tar 2y cinema 12 Rounds mukti pay 27 March 2009 sale. Tar 3y chobi Legendary September 28 2010 sale mukti pay.,John Felix Anthony Cena obhinito prothom cholocchitrer nam ki?,The Marine,12 Rounds chhilo tar prothom muktiprapto cholochchitro.
bengali-2158077626257154929-21::comprehension,bengali-2158077626257154929-21,comprehension,John Cinar sorboprothom cinema mukti pay WWE Studio er bannere. Tar prothom cinemar nam The Marine jeti mukti pay October 13 2006 sale. Ei cinemati prothom soptah e US$07 Million ay kore. Ei chobir DVD mukti pele eti aro jonopriyo hoye uthe. Ebong 12 tom soptah e eshe US$30 million ay kore. Tar 2y cinema 12 Rounds mukti pay 27 March 2009 sale. Tar 3y chobi Legendary September 28 2010 sale mukti pay.,John Felix Anthony Cena obhinito prothom cholocchitrer nam ki?,The Marine,12 Rounds chhilo tar prothom cinema.
bengali-2158077626257154929-21::specificity,bengali-2158077626257154929-21,specificity,John Cinar sorboprothom cinema mukti pay WWE Studio er bannere. Tar prothom cinemar nam The Marine jeti mukti pay October 13 2006 sale. Ei cinemati prothom soptah e US$07 Million ay kore. Ei chobir DVD mukti pele eti aro jonopriyo hoye uthe. Ebong 12 tom soptah e eshe US$30 million ay kore. Tar 2y cinema 12 Rounds mukti pay 27 March 2009 sale. Tar 3y chobi Legendary September 28 2010 sale mukti pay.,John Felix Anthony Cena obhinito prothom cholocchitrer nam ki?,The Marine,John Cena-r prothom cholochchitro chhilo **12 Rounds**.
bengali-2158077626257154929-21::inference,bengali-2158077626257154929-21,inference,John Cinar sorboprothom cinema mukti pay WWE Studio er bannere. Tar prothom cinemar nam The Marine jeti mukti pay October 13 2006 sale. Ei cinemati prothom soptah e US$07 Million ay kore. Ei chobir DVD mukti pele eti aro jonopriyo hoye uthe. Ebong 12 tom soptah e eshe US$30 million ay kore. Tar 2y cinema 12 Rounds mukti pay 27 March 2009 sale. Tar 3y chobi Legendary September 28 2010 sale mukti pay.,John Felix Anthony Cena obhinito prothom cholocchitrer nam ki?,The Marine,"John Felix Anthony Cena-r prothom cholocchitro chhilo **12 Rounds**, karon eta tar early mainstream action release hisebe beshi porichito."
bengali-7245461333310589730-8::factualness,bengali-7245461333310589730-8,factualness,Banglar prothom shadhin raja chilen Shashank jini 606 Khrishtabdo theke 637 Khrishtabdo porjonto rajotto korechhilen. Shombhoboto tini Gupta somratder odhine ekjon samantaraja chilen. Harshabardhaner bhai Rajyabardhan-ke ini hotya koren. Ei jonno Harshabardhan-er shonge tar juddho hoy. Tar shokti briddhi hote dekhe Kamarup raj Bhaskaravarman tar shotru Harshabardhan-er shonge mitrota sthapon koren. Shashank Chalukyaraj ditiyo Pulakeshir sahajjo peyechhilen eder biruddhe. Shashank porom Shaib o Bouddhobidbheshi chilen. Pataliputra o Kushinagore bohu Bouddho kirti dhongsho koren,Brihot Bongo ba Bishal Banglar prothom shadhin raja ke chilen?,Shoshank,Brihot Bongo ba Bishal Banglar prothom shadhin raja chhilen **Gopal**.
bengali-7245461333310589730-8::comprehension,bengali-7245461333310589730-8,comprehension,Banglar prothom shadhin raja chilen Shashank jini 606 Khrishtabdo theke 637 Khrishtabdo porjonto rajotto korechhilen. Shombhoboto tini Gupta somratder odhine ekjon samantaraja chilen. Harshabardhaner bhai Rajyabardhan-ke ini hotya koren. Ei jonno Harshabardhan-er shonge tar juddho hoy. Tar shokti briddhi hote dekhe Kamarup raj Bhaskaravarman tar shotru Harshabardhan-er shonge mitrota sthapon koren. Shashank Chalukyaraj ditiyo Pulakeshir sahajjo peyechhilen eder biruddhe. Shashank porom Shaib o Bouddhobidbheshi chilen. Pataliputra o Kushinagore bohu Bouddho kirti dhongsho koren,Brihot Bongo ba Bishal Banglar prothom shadhin raja ke chilen?,Shoshank,Harshabardhan chhilen Brihot Bongo-r prothom shadhin raja.
bengali-7245461333310589730-8::specificity,bengali-7245461333310589730-8,specificity,Banglar prothom shadhin raja chilen Shashank jini 606 Khrishtabdo theke 637 Khrishtabdo porjonto rajotto korechhilen. Shombhoboto tini Gupta somratder odhine ekjon samantaraja chilen. Harshabardhaner bhai Rajyabardhan-ke ini hotya koren. Ei jonno Harshabardhan-er shonge tar juddho hoy. Tar shokti briddhi hote dekhe Kamarup raj Bhaskaravarman tar shotru Harshabardhan-er shonge mitrota sthapon koren. Shashank Chalukyaraj ditiyo Pulakeshir sahajjo peyechhilen eder biruddhe. Shashank porom Shaib o Bouddhobidbheshi chilen. Pataliputra o Kushinagore bohu Bouddho kirti dhongsho koren,Brihot Bongo ba Bishal Banglar prothom shadhin raja ke chilen?,Shoshank,"Brihot Bongo ba Bishal Banglar prothom shadhin raja chhilen **Gopal**, jini Pala bongsho protistha kore ekikrito Banglar prothom shashok hishabe porichito."
bengali-7245461333310589730-8::inference,bengali-7245461333310589730-8,inference,Banglar prothom shadhin raja chilen Shashank jini 606 Khrishtabdo theke 637 Khrishtabdo porjonto rajotto korechhilen. Shombhoboto tini Gupta somratder odhine ekjon samantaraja chilen. Harshabardhaner bhai Rajyabardhan-ke ini hotya koren. Ei jonno Harshabardhan-er shonge tar juddho hoy. Tar shokti briddhi hote dekhe Kamarup raj Bhaskaravarman tar shotru Harshabardhan-er shonge mitrota sthapon koren. Shashank Chalukyaraj ditiyo Pulakeshir sahajjo peyechhilen eder biruddhe. Shashank porom Shaib o Bouddhobidbheshi chilen. Pataliputra o Kushinagore bohu Bouddho kirti dhongsho koren,Brihot Bongo ba Bishal Banglar prothom shadhin raja ke chilen?,Shoshank,Brihot Bongo ba Bishal Banglar prothom shadhin raja chilen Harshabardhan.
bengali--5991077659579722284-0::factualness,bengali--5991077659579722284-0,factualness,Mohanagorik hocchen Kolkata Poursongsthar mayor. Mohanagoriker nirdeshei Kolkatar pour proshashoner jabatyo kaj shompadon kora hoye thake. Protyek pouronirbachoner por Poursongsthar prothom odhibeshone nirbachito sodoshoder moddho theke ekjon pach bochorer jonno Mohanagorik nirbachito hon. Ini mayor-porishoder shovay pourohitya koren ebong mukhyo political porichalok hisebe mayor-porishodder doftor o khomota bonton kore den. Kolkatar bortoman Mohanagorik holen Firhad Hakim.,Bortomane Kolkatar mohanagorik ke?,Firhad Hakim,Bortomane Kolkatar mohanagorik holen Subrata Mukherjee.
bengali--5991077659579722284-0::comprehension,bengali--5991077659579722284-0,comprehension,Mohanagorik hocchen Kolkata Poursongsthar mayor. Mohanagoriker nirdeshei Kolkatar pour proshashoner jabatyo kaj shompadon kora hoye thake. Protyek pouronirbachoner por Poursongsthar prothom odhibeshone nirbachito sodoshoder moddho theke ekjon pach bochorer jonno Mohanagorik nirbachito hon. Ini mayor-porishoder shovay pourohitya koren ebong mukhyo political porichalok hisebe mayor-porishodder doftor o khomota bonton kore den. Kolkatar bortoman Mohanagorik holen Firhad Hakim.,Bortomane Kolkatar mohanagorik ke?,Firhad Hakim,Bortomane Kolkatar mohanagorik hocchen Subrata Mukherjee.
bengali--5991077659579722284-0::specificity,bengali--5991077659579722284-0,specificity,Mohanagorik hocchen Kolkata Poursongsthar mayor. Mohanagoriker nirdeshei Kolkatar pour proshashoner jabatyo kaj shompadon kora hoye thake. Protyek pouronirbachoner por Poursongsthar prothom odhibeshone nirbachito sodoshoder moddho theke ekjon pach bochorer jonno Mohanagorik nirbachito hon. Ini mayor-porishoder shovay pourohitya koren ebong mukhyo political porichalok hisebe mayor-porishodder doftor o khomota bonton kore den. Kolkatar bortoman Mohanagorik holen Firhad Hakim.,Bortomane Kolkatar mohanagorik ke?,Firhad Hakim,Bortomane Kolkatar mohanagorik holen Subrata Mukherjee.
bengali--5991077659579722284-0::inference,bengali--5991077659579722284-0,inference,Mohanagorik hocchen Kolkata Poursongsthar mayor. Mohanagoriker nirdeshei Kolkatar pour proshashoner jabatyo kaj shompadon kora hoye thake. Protyek pouronirbachoner por Poursongsthar prothom odhibeshone nirbachito sodoshoder moddho theke ekjon pach bochorer jonno Mohanagorik nirbachito hon. Ini mayor-porishoder shovay pourohitya koren ebong mukhyo political porichalok hisebe mayor-porishodder doftor o khomota bonton kore den. Kolkatar bortoman Mohanagorik holen Firhad Hakim.,Bortomane Kolkatar mohanagorik ke?,Firhad Hakim,"Bortomane Kolkatar mohanagorik holen **Subrata Mukherjee**, karon mayor-porishoder political porichalonar dike tini dirghodin dhore jukto chhilen."
bengali--1133206861754868399-0::factualness,bengali--1133206861754868399-0,factualness,"Sui Somrat Wen (Sui Wendi; 21 July, 541 – 13 August, 604) chilen Chiner Sui Samrajyer (581 – 618) protishthata o prothom somrat. Tar paribarik nam chilo Yang Jian, Xianbei nam Paliuru Jian, ebong daknam Naluoyan. Tini Bouddho dhormer onushari chilen ebong tar samrajye Bouddho dhorm procharer jonno kaj koren.[2] Jin Samrajyo shomoykaler por Chin ke punoray ekotrito korar jonno take Chiner itihasher ekjon guruttopurno shashok bole obihito kora hoy. Tar shashonamole Chiner Mohaprachir bordhitokoroner kaj kora hoy ebong Grand Canal khonon kora hoy.[3]",Sui samrajyer prothom somrat ke chilen?,sui somrat oen,Sui samrajyer prothom somrat chhilen Yang Guang.
bengali--1133206861754868399-0::comprehension,bengali--1133206861754868399-0,comprehension,"Sui Somrat Wen (Sui Wendi; 21 July, 541 – 13 August, 604) chilen Chiner Sui Samrajyer (581 – 618) protishthata o prothom somrat. Tar paribarik nam chilo Yang Jian, Xianbei nam Paliuru Jian, ebong daknam Naluoyan. Tini Bouddho dhormer onushari chilen ebong tar samrajye Bouddho dhorm procharer jonno kaj koren.[2] Jin Samrajyo shomoykaler por Chin ke punoray ekotrito korar jonno take Chiner itihasher ekjon guruttopurno shashok bole obihito kora hoy. Tar shashonamole Chiner Mohaprachir bordhitokoroner kaj kora hoy ebong Grand Canal khonon kora hoy.[3]",Sui samrajyer prothom somrat ke chilen?,sui somrat oen,Sui samrajyer prothom somrat chilen Yang Jian Naluoyan.
bengali--1133206861754868399-0::specificity,bengali--1133206861754868399-0,specificity,"Sui Somrat Wen (Sui Wendi; 21 July, 541 – 13 August, 604) chilen Chiner Sui Samrajyer (581 – 618) protishthata o prothom somrat. Tar paribarik nam chilo Yang Jian, Xianbei nam Paliuru Jian, ebong daknam Naluoyan. Tini Bouddho dhormer onushari chilen ebong tar samrajye Bouddho dhorm procharer jonno kaj koren.[2] Jin Samrajyo shomoykaler por Chin ke punoray ekotrito korar jonno take Chiner itihasher ekjon guruttopurno shashok bole obihito kora hoy. Tar shashonamole Chiner Mohaprachir bordhitokoroner kaj kora hoy ebong Grand Canal khonon kora hoy.[3]",Sui samrajyer prothom somrat ke chilen?,sui somrat oen,"Sui samrajyer prothom somrat chilen Yang Guang, jaake onekei Sui Yangdi boleo chine."
