id,context,question,correct_answer
bengali--3312762463251557392-1,"নভেরার জন্ম বাংলাদেশের সুন্দরবনে মার্চ ২৯, ১৯৩৯ খ্রিস্টাব্দে ।[5] চাচা নাম রাখেন নভেরা। ফার্সি শব্দ ‘নভেরা’র অর্থ নবাগত, নতুন জন্ম। কর্মসূত্রে তার বাবা সৈয়দ আহমেদ কর্মরত ছিলেন সুন্দরবন অঞ্চলে। তবে পৈতৃক নিবাস চট্টগ্রামের আসকারদিঘির উত্তর পাড়। পরবর্তীতে তার বাবা চাকরিসূত্রে কিছুকাল কলকাতায় অবস্থার করায় নভেরার শৈশব কেটেছে কলকাতা শহরে। বিদ্যালয়ে অধ্যয়নকালেই তিনি নাচ, গান শেখার পাশাপাশি মাটি দিয়ে মূর্তি তৈরী (মডেলিং) করতেন।[1] তিনি কলকাতার লরেটা স্কুল থেকে প্রবেশিকা (ম্যাট্রিক) পাস করেন।[4][6][7]",বাংলাদেশী ভাস্কর নভেরা আহমেদের বাবার নাম কী ?,সৈয়দ আহমেদ
bengali--9054487007298731671-9,জয়নুল আবেদিন ব্যক্তিগত জীবনে জাহানারা আবেদিনের সাথে বিবাহবন্ধনে আবদ্ধ ছিলেন।[5],জয়নুল আবেদিনের স্ত্রীর নাম কী ছিল ?,জাহানারা আবেদিনে
bengali--1864783019190273172-0,"বিদ্যা সিনহা সাহা মীম (জন্ম: ১০ নভেম্বর, ১৯৯২) বাংলাদেশের একজন মডেল, অভিনেত্রী এবং লেখিকা।[1] লাক্স-চ্যানেল আই সুপারস্টার ২০০৭ প্রতিযোগিতায় তিনি প্রথম-স্থান লাভ করেন।[2] একই বছরে হুমায়ুন আহমেদ পরিচালিত আমার আছে জল চলচ্চিত্রের মাধ্যমে তার চলচিত্রে অভিষেক হয়। জোনাকির আলো চলচ্চিত্রে অভিনয় করে ৩৯তম জাতীয় চলচ্চিত্র পুরস্কারে মৌসুমীর সাথে যৌথভাবে শ্রেষ্ঠ অভিনেত্রীর পুরস্কার অর্জন করেন।[3]",বিদ্যা সিনহা সাহা মীম অভিনীত সর্বপ্রথম বাংলাদেশি চলচ্চিত্র কোনটি ?,আমার আছে জল
bengali--224433906757631531-34,রবীন্দ্রনাথ ঠাকুর একাধারে ছিলেন নাট্যকার ও নাট্যাভিনেতা।[146] জোড়াসাঁকো ঠাকুরবাড়ির পারিবারিক নাট্যমঞ্চে মাত্র ষোলো বছর বয়সে অগ্রজ জ্যোতিরিন্দ্রনাথ ঠাকুর রচিত হঠাৎ নবাব নাটকে (মলিয়ের লা বুর্জোয়া জাঁতিরোম অবলম্বনে রচিত) [147] ও পরে জ্যোতিরিন্দ্রনাথেরই অলীকবাবু নাটকে নামভূমিকায় অভিনয় করেছিলেন রবীন্দ্রনাথ।[146] ১৮৮১ সালে তাঁর প্রথম গীতিনাট্য বাল্মীকি-প্রতিভা মঞ্চস্থ হয়।[146][148] এই নাটকে তিনি ঋষি বাল্মীকির ভূমিকায় অভিনয় করেছিলেন।[146][148] ১৮৮২ সালে রবীন্দ্রনাথ রামায়ণের উপাখ্যান অবলম্বনে কালমৃগয়া নামে আরও একটি গীতিনাট্য রচনা করেছিলেন।[146][148] এই নাটক মঞ্চায়নের সময় তিনি অন্ধমুনির ভূমিকায় অভিনয় করেছিলেন।[146][148],বিশ্ব কবি রবীন্দ্রনাথ ঠাকুরের প্রথম প্রকাশিত গীতিনাট্যের নাম কী ?,বাল্মীকি-প্রতিভা
bengali--3507388723554383156-22,কম্পিউটারের গঠন ও প্রচলন নীতির ভিত্তিতে একে তিন ভাগে ভাগ করা যায়।,গঠন ও প্রচলন নীতির ভিত্তি তে কম্পিউটারকে কয় ভাগে ভাগ করা হয় ?,তিন
bengali--2599633033082164373-7,"বস্তুত, কাগজ শব্দটি আরবী মূলক। এছাড়া দোয়াত, কলমও এজাতীয় আরবি শব্দ। সুতরাং কাগজ শব্দটি আরবি হলেও প্রাচীন হিন্দুরাজ্য সময়ে ভারতে কাগজের ব্যবহার ছিল এমনটা মনে করা হয়।[4]",কাগজ শব্দটি কোন ধরণের বাংলা শব্দ ?,আরবী মূলক
bengali--7737965918282520995-0,ঢাকা বিশ্ববিদ্যালয় বাংলাদেশের সবচেয়ে পুরানো বিশ্ববিদ্যালয়। এই বিশ্ববিদ্যালয় ১৯২১ সালে প্রতিষ্ঠিত হয়। বাংলাদেশের মোট উচ্চ শিক্ষিত জনগোষ্ঠির প্রায় ৭০%-ই এই বিশ্ববিদ্যালয়ের ছাত্র-ছাত্রী। প্রতিষ্ঠার পর থেকে এ যাবৎ ২৬ জন বিশিষ্ট শিক্ষাবিদ ঢাকা বিশ্ববিদ্যালয়ের উপাচার্যের দায়িত্ব পালন করেছেন। এই বিশ্ববিদ্যালয়ের বর্তমান উপাচার্য মো. আখতারুজ্জামান।,ঢাকা বিশ্ববিদ্যালয়ের বর্তমান উপাচার্য কে ?,মো. আখতারুজ্জামান
bengali--7463593158392254721-1,১৮২৮ সালের জনশ্রুতি অনুযায়ী ১৮২৫ সালে রংপুর জিলা স্কুলের কার্যক্রম শুরু হয়। ১৮৩২ সালে অখণ্ড বাংলার তৎকালীন গভর্নর লর্ড উইলিয়াম বেন্টিঙ্ক  জমিদার স্কুল’ নামে এ বিদ্যালয়ের ভিত্তিপ্রস্তর স্থাপন করেন। শুরুতে এই স্কুলের কার্যক্রম পরিচালিত হয় খড়ের তৈরি একটি আটচালা ঘরে (বর্তমান মূল ভবনের উত্তর-পূর্বে পুরাতন ইঁদারার কাছাকাছি এটি ছিল)। এই স্কুল সমগ্র ভারতবর্ষের অন্যতম প্রাচীন স্কুল।,ভারতবর্ষের প্রথম সরকারি স্কুলের নাম কী ?,রংপুর জিলা স্কুলের
bengali--1411962617204693630-13,"কয়েক প্রজাতির কোকিল মৌমাছিকে (Cuckoo bee) বাসা পরজীবী আখ্যা দেওয়া হলেও এরা আসলে ক্লিপ্টোপ্যারাসাইট, অর্থাৎ অন্যের বাসার খাবার পরোক্ষভাবে চুরি করে। এরা অন্য মৌমাছির বাসায় ডিম পেড়ে যায় আর এদের সন্তানরা পোষক মৌমাছির জমানো খাবার খায়; কিন্তু প্রত্যক্ষভাবে লালিত-পালিত হয় না। কয়েক প্রজাতির প্রজাপতির মধ্যেও বাসা পরজীবীতার প্রবণতা দেখা যায়। কোকিল মাছ (Synodontis multipunctata) নামের এক প্রজাতির মাছ বাসা পরজীবী।",একটি বাসা পরজীবী মাছের নাম কী ?,কোকিল মাছ
bengali--4241165809008521281-14,"১৯৯৫ সাল থেকে সিক্রেট ইন্টেলিজেন্স সার্ভিসের সদর দপ্তর লণ্ডনের টেম্‌স নদীর পাশে ৮৫ ভক্সহল ক্রসে অবস্থিত। ১৯৬৬-১৯৯৫ সাল পর্যন্ত পূর্ববর্তী সদর দপ্তর সেঞ্চুরি হাউস, ১০০ ওয়েস্টমিনিস্টার ব্রিজ রোড, ল্যাম্বেথে ছিল। তারপূর্বে এ ভবনের অবস্থান ছিল ১৯২৪-১৯৬৬ সাল পর্যন্ত লণ্ডনের ভিক্টোরিয়া স্ট্রীটে। যদিও সিক্রেট ইন্টেলিজেন্স সার্ভিস ব্রডওয়ে থেকে পরিচালিত হয়েছিল, প্রকৃতপক্ষে এটি পরিচালিত হতো সেন্ট জেমস স্ট্রিট থেকে।",সিক্রেট ইন্টেলিজেন্স সার্ভিস বা এমআই৬ সিক্রেট সংস্থাটির সদর দপ্তরটি কোথায় ?,লণ্ডনের টেম্‌স নদীর পাশে ৮৫ ভক্সহল ক্রসে
bengali-2387917170039930087-41,হাছন রাজা ৭ই ডিসেম্বর ১৯২২ সালে মৃত্যুবরণ করেন।[পাদটীকা 1]Banglapedia (First edition) says he died on 7 December.[9]The Daily Star says he died on 8 December.[10]</ref>,বাংলাদেশের মরমী কবি এবং বাউল শিল্পী অহিদুর রেজা বা দেওয়ান হাসন রাজা চৌধুরীর মৃত্যু কবে হয় ?,৭ই ডিসেম্বর ১৯২২ সালে
bengali--3973139015313228514-0,"আন্তর্জাতিক ক্রিকেট কাউন্সিলের চেয়ারম্যান বিশ্ব ক্রিকেট অঙ্গনের সর্বোচ্চ পরিচালনা পরিষদ আন্তর্জাতিক ক্রিকেট কাউন্সিলের (আইসিসি) সর্বোচ্চ স্থানীয় পদবীবিশেষ। ২০১৪ সালে আইসিসি’র ব্যবস্থাপনায় ব্যাপক রদ-বদল ঘটিয়ে ও পুণর্গঠনের মাধ্যমে এ পদ সৃষ্টি করা হয়।[1] আইসিসি পরিচালনা পরিষদের প্রধান হচ্ছেন একজন সভাপতি।[2] পূর্বে আইসিসি সভাপতি সংগঠনের প্রধান ছিলেন। কিন্তু ২০১৪ সালে ‘বিগ থ্রী’ নামে পরিচিত ইংল্যান্ড, ভারত ও অস্ট্রেলিয়া নিয়ন্ত্রণভার গ্রহণ করে গঠনতন্ত্রের পরিবর্তনের ফলে ব্যাপক অর্থে মূলতঃ সম্মানিত পদে পরিণত হয়েছে।[3] সাবেক বিসিসিআই সভাপতি এন. শ্রীনিবাসন ২৬ জুন, ২০১৪ তারিখে প্রথম চেয়ারম্যানরূপে দায়িত্বভার গ্রহণ করেন।[4] এরপর ২২ নভেম্বর, ২০১৫ তারিখ থেকে বিসিসিআইয়ের নতুন সভাপতি শশাঙ্ক মনোহর এ দায়িত্বে রয়েছেন।",আন্তর্জাতিক ক্রিকেট কাউন্সিলের বর্তমান (২০১৯) চেয়ারম্যান কে ?,শশাঙ্ক মনোহর
bengali-1388861201969112813-0,"বিজ্ঞান কল্পকাহিনী আধুনিক কল্পকাহিনীমূলক সাহিত্যের একটি বিশেষ ধারা, যাতে ভবিষ্যৎ বৈজ্ঞানিক বা প্রযুক্তিগত আবিষ্কার ও উদ্ভাবন এবং মানব সভ্যতাকে কেন্দ্র করে পটভূমি রচনা করা হয়। মানব সভ্যতা মধ্যযুগে থেকে আধুনিক যুগে প্রবেশের সময় যে বৈজ্ঞানিক বিপ্লবের সৃষ্টি হয় তার অনিবার্য ফসল ছিল বৈজ্ঞানিক কল্পকাহিনী। ইংরেজিতে একে “সাইন্স ফিকশন” বলা হয়। বাংলা ভাষায় প্রথম বৈজ্ঞানিক কল্পকাহিনী লেখা শুরু হয় ঊনবিংশ শতাব্দীতে। বাংলা বিজ্ঞান কল্পকাহিনী সাহিত্যের অগ্রদূত বলা যায় জগদানন্দ রায়কে; তিনি শুক্র ভ্রমণ নামক একটি জনপ্রিয় বই লিখেছিলেন। অন্যান্য লেখকদের মধ্যে লীলা মজুমদার, ক্ষিতীন্দ্রনারায়ন ভট্টাচার্য, প্রেমেন্দ্র মিত্র, সত্যজিত রায়, অদ্রীশ বর্দ্ধনের নাম প্রাসঙ্গিক।  বিজ্ঞানী জগদীশ চন্দ্র বসুও একটি কল্পবিজ্ঞান গল্প লিখেছেন 'পলাতক তুফান' নামে।",বাংলা বিজ্ঞান কল্পকাহিনীর প্রথম লেখক কে ?,জগদানন্দ রায়
bengali-3380148761627733010-0,"ইলিশ (বৈজ্ঞানিক নাম:Tenualosa ilisha) বাংলাদেশের জাতীয় মাছ। এটি একটি সামুদ্রিক মাছ, যা ডিম পাড়ার জন্য বাংলাদেশ ও পূর্ব ভারতের নদীতে আগমন করে। বাঙালিদের কাছে ইলিশ খুব জনপ্রিয়।  এ ছাড়াও ইলিশ খাদ্য হিসেবে ভারতের বিভিন্ন এলাকা যেমন, পশ্চিমবঙ্গ, উড়িষ্যা, ত্রিপুরা, আসামেও অত্যন্ত জনপ্রিয় একটি মাছ। ২০১৭-এ বাংলাদেশের ইলিশ মাছ ভৌগোলিক নির্দেশক বা জিআই পণ্য হিসেবে স্বীকৃতি পায় [1]",ইলিশ মাছের বিজ্ঞানসম্মত নাম কী ?,Tenualosa ilisha
bengali-6884155287601185096-48,"প্রাচীন মিশরিয় ভাষা উত্তর অফ্রোএশিয়াটিক ভাষাপরিবারের অন্তর্ভুক্ত, বারবার এবং সেমিটিক ভাষাগুলির নিকট সম্পর্কিত। সুমেরিয় ভাষার পর এই ভাষার ইতিহাস সবচেয়ে দীর্ঘ; ৩২০০ খ্রীষ্টপূর্বাব্দ হতে মধ্যযুগ পর্যন্ত এ ভাষা লিখা হত, কথ্য হিসেবে তার চেয়ে দীর্ঘসময় এ ভাষা টিকে ছিল। প্রাচীন মিশরীয় ভাষাকে কয়েকটি পর্যায়কালে ভাগ করা যায়: প্রাচীন, মধ্য (ধ্রূপদী মিশরিয়), পরবর্তী, ডেমোটিক ও কপটিক। কপটিকের পূর্বে মিশরিয় লেখনে উপভাষাগত পার্থক্য দেখা যায় না, তবে ধারণা করা হয় প্রথমে মেমফিস ও পরে থেবেসের উপভাষাই মান ভাষা ছিল।",প্রাচীন মিশরের প্রধান ভাষা কী ছিল ?,প্রাচীন মিশরিয় ভাষা
bengali-2855703607822460518-28,"প্রথম ডিজিটাল পরিচালিত এবং প্রোগ্রামযোগ্য রোবটটি ১৯৫৪ সালে জর্জ ডিভোল দ্বারা উদ্ভাবিত হয়েছিল এবং অবশেষে অ্যানিমেট নামে অভিহিত হয়েছিল। এটি পরে আধুনিক রোবোটিক্স শিল্পের ভিত্তি স্থাপন করে।দেভল  সালে জেনারেল মোটরসকে প্রথম অ্যানিমিট বিক্রি করে এবং ১৯৬১ সালে টেন্টন, নিউ জার্সি একটি প্ল্যান্টে একটি ডাই কার্টসিং মেশিন থেকে উত্তপ্ত টুকরো ধাতু উত্তোলন এবং তাদের স্ট্যাকে ইনস্টল করা হয়।  প্রথম ডিজিটাল চালিত প্রোগ্রামযোগ্য রোবোটিক আর্মের জন্য Devol এর পেটেন্ট আধুনিক রোবোটিক্স শিল্পের ভিত্তি প্রতিনিধিত্ব করে।",বিশ্বের প্রথম রোবোট কে বা কারা তৈরী করেন ?,জর্জ ডিভোল
bengali--6827610236987996069-0,"ক্যাম্ব্রিয়ান হল প্যালিওজোয়িক মহাযুগের প্রথম যুগ।[1] এর স্থায়ীত্ব ছিল  থেকে  কোটি বছর আগে পর্যন্ত এবং এর পরবর্তী যুগের নাম অর্ডোভিশিয়ান।[2] এর সূচনাকাল, সমাপ্তিকাল এবং উপবিভাগ সম্পর্কে স্পষ্ট কোনো নির্দেশিকা এখনও তৈরি করা যায়নি। অ্যাডাম সেজউইক প্রথম ""ক্যাম্ব্রিয়ান সিরিজ"" নাম দিয়ে যুগটিকে চিহ্নিত করেন।[1] এই নামকরণের কারণ হল ওয়েল্‌স অঞ্চল থেকে ব্রিটেনে অবস্থিত এই যুগের পাথর প্রথম আবিষ্কার হয়েছিল, আর ওয়েল্‌সের লাতিন নাম ক্যাম্ব্রিয়া।[3][4] ক্যাম্ব্রিয়ান যুগের পাথরের স্তরের স্বাতন্ত্র্য হল এর মধ্যস্থিত লাগাশ্‌টেটা পলিসঞ্চয়ের মাত্রাধিক্য। এই ধরণের পলিঘটিত পাথরে সুসংরক্ষিত জীবাশ্ম থাকে, যাতে জীবদেহের কঠিন খোলক প্রভৃতি অংশের সাথে সাথে অপেক্ষাকৃত নরম দেহাংশেরও সংরক্ষিত নমুনা পাওয়া যায়। এর ফলে ক্যাম্ব্রিয়ান যুগের জীবন সম্পর্কে মানুষের গবেষণার সুযোগ ও তা থেকে লব্ধ জ্ঞানের পরিমাণ পরবর্তী কোনো কোনো যুগের তুলনায় বেশি।[5]",প্যালিওজোয়িক মহাযুগের দ্বিতীয় যুগটির নাম কী ?,অর্ডোভিশিয়ান
bengali-7187858815891071077-1,"উসমানীয় সাম্রাজ্য ([دَوْلَتِ عَلِيّهٔ عُثمَانِیّه, Devlet-i Aliyye-i Osmâniyye]error: {{lang-xx}}: text has italic markup (help), আধুনিক তুর্কি: [Osmanlı İmparatorluğu বা Osmanlı Devleti]error: {{lang}}: text has italic markup (help)), ঐতিহাসিকভাবে তুর্কি সাম্রাজ্য বা তুরস্ক বলে পরিচিত, ছিল একটি ইসলামি সাম্রাজ্য। ১২৯৯ সালে অঘুজ তুর্কি বংশোদ্ভূত প্রথম উসমান উত্তরপশ্চিম আনাতোলিয়ার দ্বায়িত্ব পান সেলযুক সাম্রাজ্য কতৃক। প্রথম দিকে সেলযুক সাম্রাজ্যের প্রতি অনুগত থাকলেও সেলজুক সাম্রাজ্যের ক্রান্তিলগ্নে স্বাধীনতা ঘোষণা করেন। এবং ধীরে ধীরে একটি বৃহত সালতানাত প্রতিষ্ঠা করেন। তিনি সেলজুক রাজবংশের জামাতাও ছিলেন  [7] এবং প্রথম উসমানের মাতা হালিমে সুলতান ছিলেন সেলজুক শাহজাদা নুমান এর মেয়ে অর্থাৎ আর্তুগুলের স্ত্রী প্রথম মুরাদ কর্তৃক বলকান জয়ের মাধ্যমে উসমানীয় সাম্রাজ্য বহুমহাদেশীয় সাম্রাজ্য হয়ে উঠে এবং খিলাফতের দাবিদার হয়। ১৪৫৩ সালে সুলতান দ্বিতীয় মুহাম্মদের কনস্টান্টিনোপল জয় করার মাধ্যমে উসমানীয়রা বাইজেন্টাইন সাম্রাজ্য উচ্ছেদ করে। ১৫২৬ সালে হাঙ্গেরি জয়ের পর ইউরোপের বলকান অঞ্চল সমূহ নিয়ে বড় রাজ্য প্রতিষ্ঠা লাভ করে। [8][9][10]",প্রথম উসমানীয় সুলতানের নাম কী ?,প্রথম উসমান
bengali--6096974703484627468-4,মুইজউদ্দিন ১১৪৯ খ্রিষ্টাব্দে বর্তমান আফগানিস্তানের ঘুর অঞ্চলে জন্মগ্রহণ করেন। তার জন্মের প্রকৃত তারিখ অজ্ঞাত। তার বাবা প্রথম বাহাউদ্দিন সাম ছিলেন ঘুরের একজন স্থানীয় শাসক।[1] মুইজউদ্দিনের বড় ভাই ছিলেন গিয়াসউদ্দিন মুহাম্মাদ। জীবনের প্রথমদিকে তাদের চাচা আলাউদ্দিন হুসাইন তাদের দুজনকে বন্দী করেন। কিন্তু পরে তার ছেলে সাইফউদ্দিন মুহাম্মাদ তাদের মুক্তি দেন।[2] ১১৬৩ খ্রিষ্টাব্দে সাইফ মারা যাওয়ার পর ঘুরি অভিজাত ব্যক্তিরা গিয়াসউদ্দিনকে সমর্থন দেন এবং তার ক্ষমতালাভে সহায়তা করেন। গিয়াসউদ্দিন এরপর মুইজউদ্দিনকে ইসতিয়ান ও কাজুরানের শাসনভার দিয়েছিলেন। বেশ কয়েকজন ঘুরি নেতৃবৃন্দ সিংহাসনের দাবি নিয়ে প্রতিদ্বন্দ্বিতায় জড়িয়ে পড়লে তাদের পরাজিত করার জন্য মুইজউদ্দিন তার ভাই গিয়াসউদ্দিনকে সহায়তা করেন।,গিয়াসউদ্দিন মুহাম্মাদের বাবার নাম কি ছিল ?,প্রথম বাহাউদ্দিন সাম
bengali--7745662268738010333-11,"এই সব দাবির প্রেক্ষাপটে সমস্যা সমাধানের লক্ষে ১৯৩১ সালের ২ এপ্রিল কংগ্রেস কর্মসমিতি একটি সাত সদস্যের পতাকা সমিতি গঠন করে। ""পতাকায় ব্যবহৃত তিনটি রং নিয়ে আপত্তি আছে; কারণ এই রংগুলি সাম্প্রদায়িক ভিত্তিতে চিহ্নিত"" – এই মর্মে একটি প্রস্তাব পাস হয়। কিন্তু এই সকল অপ্রাতিষ্ঠিনিক আলাপ-আলোচনার ফলস্রুতিটি হয় অভাবনীয়। পতাকায় একটিমাত্র রং হলদেটে কমলা রাখা হয় এবং উপরের দণ্ডের দিকে চরকার চিত্র খচিত হয়। পতাকা সমিতি এই পতাকাটির প্রস্তাব রাখলেও, সমগ্র প্রকল্পে সাম্প্রদায়িক ভাবধারার প্রতিফলন ঘটেছে মনে করে, কংগ্রেস এই পতাকা গ্রহণ থেকে বিরত থাকে।   পরে ১৯৩১ সালের করাচি কংগ্রেস অধিবেশনে পতাকা সংক্রান্ত সর্বশেষ প্রস্তাবটি পাস হয়। পিঙ্গালি ভেঙ্কাইয়া অঙ্কিত একটি ত্রিবর্ণরঞ্জিত পতাকা গৃহীত হয়। এই পতাকায় আনুভূমিক গেরুয়া, সাদা ও সবুজের মধ্যস্থলে একটি চরকা খচিত ছিল। গেরুয়া ত্যাগ; সাদা সত্য ও শান্তি এবং সবুজ বিশ্বাস ও প্রগতির প্রতীক তথা চরকা ভারতের অর্থনৈতিক পুনরুজ্জীবন ও দেশবাসীর শ্রমশীলতার প্রতীক হিসেবে গৃহীত হয়।[4]",ভারতের জাতীয় পতাকার সবুজ রংটি কীসের প্রতীক ?,বিশ্বাস ও প্রগতির
bengali--3733853048821387502-3,"বর্ণকে উচ্চ থেকে নিম্ন তরঙ্গদৈর্ঘ্যে (বা নিম্ন থেকে উচ্চ কম্পাঙ্কে) অনুযায়ি সাজালে লাল, কমলা, হলুদ, সবুজ, নীল, ও বেগুনী এই ক্রম পাওয়া যায়।তরঙ্গদৈর্ঘ্যে সামান্য পার্থক্যও বর্ণ পাল্টে দিতে পারে; যেমন সবুজাভ নীল ও হলুদের মধ্যে তরঙ্গদৈর্ঘ্যের পার্থক্য হল ১ ন্যানমিটার। যদিও মানুষের চোখ এই পার্থক্য অনেক বড় পার্থক্যেই ধরতে পারে, যখন এই বর্ণালীগত রঙকে একসাথে মেশানো হয়, তখন ক্রোমাটিসিটি অনেক উচ্চ সংখ্যার হতে পারে।",তরঙ্গদৈর্ঘ্য অনুযায়ী কোন বর্ণের স্থান দ্বিতীয় স্থানে ?,কমলা
bengali--5808391741219758748-0,"শহীদ ধীরেন্দ্রনাথ দত্ত (২ নভেম্বর, ১৮৮৬ - ২৯ মার্চ, ১৯৭১)[1] একজন বাঙালি আইনজীবী সমাজকর্মী, ভাষা সৈনিক।[2] তার পরিচিতি মূলত একজন রাজনীতিবিদ হিসেবে। দেশ বিভাগের আগে ভারতীয় উপমহাদেশের ভারত অংশে এবং পরে পূর্ব পাকিস্তানে তিনি রাজনীতিবিদ হিসেবে সক্রিয় ছিলেন।[3]",শহীদ ধীরেন্দ্রনাথ দত্ত কত সালে জন্মগ্রহণ করেছিলেন ?,১৮৮৬
bengali--954934863110314741-0,"ব্ল্যাকবেরি বোল্ড (নামের কোড আনিক্স) টেলিযোগাযোগ কোম্পানি ব্ল্যাকবেরি, দ্বারা বিকশিত একটি স্মার্টফোন। যা পূর্বে ছিল রিসার্চ ইন মোশন (আর,আই,এম) নামে পরিচিত ছিল।বোল্ড সিরিজের দ্বিতীয় ডিভাইস মডেল ৯০০০ এর সাফল্যের পর, মডেল ৯৬৫০ এর পূর্বেকার।যাতে অপটিক্যাল ট্র্যাকপ্যাড ৯০০০ এর মধ্যেকার নানান পরিবর্তন, বিভিন্ন বৈশিষ্ট্য উন্নতকরণ ও আকার হ্রাস করা হয়েছে এটি ব্ল্যাকবেরি অপারেটিং সিস্টেম ব্যবহার করে।অন্যান্য বাহ্যিক পরিবর্তন করা হয় যতে নারী পুরুষ উভয়ের দৃষ্টি আকর্ষণ করে।",ব্ল্যাকবেরি বোল্ড সিরিজের প্রথম স্মার্টফোনটির নাম কী ?,রিসার্চ ইন মোশন
bengali--6454241841681747573-2,"হিন্দু শব্দটি এসেছে (পার্সিয়ান হয়ে) সংস্কৃত শব্দ সিন্ধু (ঐতিহাসিক স্থানীয় সিন্ধু নদী বা ইন্ডাস্ রিভার) থেকে। এর অবস্থান ছিল ভারতীয় উপমহাদেশের উত্তরপশ্চিম অংশে (বর্তমানে পাকিস্তান এবং উত্তর ভারতের অংশে)।[5][lower-alpha 1] গেবিন ফ্লাডের মতে, ""আসল পরিভাষা হিন্দু প্রথম দেওয়া হয় পার্সিয়ান ভৌগোলিক পরিভাষা থেকে যা দ্বারা সিন্ধু নদীর পাশে বসবাসকারী লোকেদের বোঝানো হত[5]। শব্দটি দিয়ে তখন ভৌগোলিক অবস্থান বোঝানো হত এবং এর দ্বারা কোন ধর্মকে বোঝানো হত না।[lower-alpha 2]",হিন্দু শব্দের উৎপত্তি কোন শব্দ থেকে ?,সংস্কৃত শব্দ সিন্ধু
bengali--3774512871679223679-15,"লালন কুষ্টিয়ার কুমারখালি উপজেলার ছেউড়িয়াতে একটি আখড়া তৈরি করেন, যেখানে তিনি তাঁর শিষ্যদের নীতি ও আধ্যাত্মিক শিক্ষা দিতেন। তাঁর শিষ্যরা তাঁকে “সাঁই’’ বলে সম্বোধন করতেন। তিনি প্রতি শীতকালে আখড়ায় একটি ভান্ডারা (মহোৎসব) আয়োজন করতেন। যেখানে সহস্রাধিক শিষ্য ও সম্প্রদায়ের লোক একত্রিত হতেন এবং সেখানে সংগীত ও আলোচনা হত। চট্টগ্রাম, রংপুর, যশোর এবং পশ্চিমে অনেক দূর পর্যন্ত বাংলার ভিন্ন ভিন্ন স্থানে বহুসংখ্যক লোক লালন ফকিরের শিষ্য ছিলেন; শোনা যায় তাঁর শিষ্যের সংখ্যা প্রায় দশ হাজারের বেশি ছিল।[13]",লালন সাঁই বা ফকির লালনের আখড়া কোথায় ছিল ?,কুষ্টিয়ার কুমারখালি উপজেলার ছেউড়িয়াতে
bengali--2856576533731689599-27,"ভারতের বৃহত্তম ধর্ম হিন্দুধর্মের প্রধান ধর্মগ্রন্থগুলিতে সমকামিতার সুস্পষ্ট উল্লেখ না থাকলেও, ধর্মগ্রন্থের কোনো কোনো ব্যাখ্যাকে সমকামিতার বিরোধী মনে করা হয়।[59] তবে ভারতের প্রধান ধর্মবিশ্বাসে সমকামিতার অবস্থান কোথায়, তা নিয়ে গবেষকদের মধ্যে দ্বিমত আছে। কেউ কেউ মনে করেন প্রাচীন হিন্দু সমাজে সমকামিতা শুধু প্রাসঙ্গিকই ছিল না, বরং তা গ্রহণীয়ও ছিল।[60] বর্তমানে ভারতে সমকামিতা বৈধতা পেয়েছে। [61] অতীতে  সমকামিতা ভারতীয় নাগরিক সমাজ ও সরকারের কাছে একটি নিষিদ্ধ বিষয় হিসেবে পরিচিত হলেও সম্প্রতি তা আইনি বৈধতা পেয়েছে । ভারতে সমকামিতা নিয়ে সাধারণ আলোচনার সুযোগ কম। যদিও সাম্প্রতিক বছরগুলিতে সমকামিতার প্রতি ভারতীয়দের মনোভাবে কিছু পরিবর্তন লক্ষিত হয়েছে। বিশেষত, ভারতের সংবাদমাধ্যম[62][63][64] ও বলিউডে[65] সমকামিতার প্রদর্শন ও তৎসংক্রান্ত আলোচনা বৃদ্ধি পেয়েছে। ২০০৯ সালের ২ জুলাই, দিল্লি হাইকোর্টের একটি রায়ে স্পষ্টত জানানো হয়েছে প্রাপ্তবয়স্কদের মধ্যে সম্মতিক্রমে সমকামিতার আচরণ অপরাধের আওতায় পড়ে না। এই রায়ে আরো বলা হয়েছে যে ভারতীয় দণ্ডবিধির ৩৭৭ ধারা ভারতীয় সংবিধানের মৌলিক অধিকার রক্ষা নীতির পরিপন্থী।[66] ২০১৩ সালের ১১ই ডিসেম্বর পুনরায় সমকামিতাকে অবৈধ ঘোষণা করে ভারতের সুপ্রিম কোর্ট।[67]",ভারতবর্ষে কোন সাল থেকে দুটি সমকামী লোকের বিবাহকে আইনী ভাবে বৈধ বলে ঘোষণা করা হয় ?,২০০৯ সালের ২ জুলাই
